standard_name,display_name,description,role,data_type,unit,required,aliases,lower_bound,upper_bound
timestamp,时间戳,工业时序采样时间,time,datetime,datetime,true,时间|采集时间|记录时间|TIME|DATETIME|TS,,
reflux_flow,回流流量,塔顶回流液体质量流量,manipulated,float,t/h,true,回流量|回流液流量|REFLUX_FLOW,0,500
steam_flow,再沸蒸汽流量,再沸器加热蒸汽质量流量,manipulated,float,t/h,true,蒸汽流量|再沸器蒸汽|STEAM_FLOW,0,500
feed_flow,进料流量,进入精馏塔的物料质量流量,disturbance,float,t/h,true,原料流量|塔进料|FEED_FLOW,0,1000
feed_temperature,进料温度,进料进入塔前的温度,disturbance,float,degC,false,原料温度|进料温度|FEED_TEMP,0,500
top_temperature,塔顶温度,精馏塔顶部代表温度,controlled,float,degC,true,顶温|塔顶温度|TOP_TEMP,0,500
bottom_temperature,塔釜温度,精馏塔底部代表温度,state,float,degC,true,釜温|塔底温度|BOTTOM_TEMP,0,600
column_pressure,塔压,精馏塔代表压力,state,float,Pa,false,塔顶压力|塔内压力|COLUMN_PRESSURE,0,5000000
top_product_purity,塔顶产品纯度,塔顶产品中目标组分含量,controlled,float,percent,true,塔顶纯度|产品纯度|TOP_PURITY,0,100
bottom_level,塔釜液位,塔釜液位百分比,state,float,percent,false,釜液位|塔底液位|BOTTOM_LEVEL,0,100
